Attractiveness,average_likeability,percentage_recognition,American
1.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,-1.0
-1.0,0.0,-1.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,0.0,0.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,0.0,0.0,-1.0
1.0,1.0,0.0,-1.0
1.0,1.0,0.0,-1.0
-1.0,1.0,0.0,-1.0
1.0,0.0,-1.0,-1.0
1.0,0.0,0.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,0.0,0.0,-1.0
-1.0,0.0,0.0,0.0
1.0,1.0,0.0,-1.0
-1.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,0.0
1.0,0.0,0.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,1.0,0.0,-1.0
-1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0
-1.0,1.0,-1.0,-1.0
-1.0,1.0,0.0,-1.0
-1.0,0.0,-1.0,-1.0
1.0,1.0,0.0,-1.0
-1.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,1.0
-1.0,0.0,-1.0,1.0
1.0,0.0,0.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,1.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,0.0
1.0,1.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
-1.0,1.0,0.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
-1.0,1.0,0.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,1.0,0.0
-1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0
-1.0,0.0,0.0,1.0
-1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0
-1.0,1.0,0.0,0.0
-1.0,1.0,1.0,0.0
-1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0
-1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0
-1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
-1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
-1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0
-1.0,0.0,0.0,1.0
-1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0
-1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0
-1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0
-1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0
-1.0,-1.0,1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,-1.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
-1.0,0.0,1.0,0.0
1.0,-1.0,0.0,0.0
1.0,-1.0,1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,-1.0,1.0,0.0
-1.0,-1.0,1.0,1.0
1.0,0.0,1.0,0.0
-1.0,-1.0,0.0,1.0
-1.0,-1.0,0.0,1.0
1.0,-1.0,1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
-1.0,-1.0,0.0,1.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
-1.0,-1.0,0.0,0.0
1.0,0.0,1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,-1.0,0.0
1.0,0.0,0.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,1.0
-1.0,0.0,-1.0,1.0
1.0,0.0,0.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,1.0
1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
1.0,1.0,0.0,0.0
