Rainfall,Action,Days_after_experiment,suitability_for_seeding,percent_cloud_cover_on_day_of_experiment,prewetness,Echo_motion
-1.0,0.0,-0.0,-0.0,0.0,0.0,-1.0
-1.0,0.0,-0.0,-1.0,1.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,1.0,0.0,-1.0
-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0
-1.0,0.0,-0.0,-0.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,-0.0,1.0,0.0,0.0
-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
-1.0,1.0,-0.0,-0.0,1.0,-1.0,-1.0
-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0
-1.0,1.0,-0.0,-0.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,-0.0,0.0,-1.0,0.0
-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0
1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0
1.0,1.0,-0.0,-1.0,1.0,0.0,0.0
-1.0,1.0,-0.0,-0.0,0.0,-1.0,0.0
-1.0,0.0,-0.0,-1.0,1.0,0.0,0.0
-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
-1.0,1.0,-0.0,-0.0,1.0,-1.0,0.0
-1.0,0.0,-0.0,-1.0,0.0,0.0,0.0
1.0,1.0,-0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,1.0,-1.0,0.0
1.0,0.0,-0.0,-1.0,1.0,0.0,1.0
-1.0,0.0,-1.0,-0.0,1.0,0.0,0.0
1.0,1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,-0.0,-0.0,1.0,-1.0,1.0
1.0,1.0,-1.0,-0.0,1.0,0.0,1.0
-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0
1.0,1.0,-0.0,-0.0,1.0,-1.0,0.0
1.0,0.0,-1.0,-1.0,1.0,0.0,1.0
1.0,1.0,-0.0,-0.0,0.0,-1.0,1.0
1.0,0.0,-1.0,-0.0,0.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0
1.0,0.0,-1.0,-1.0,1.0,0.0,1.0
1.0,1.0,-0.0,-1.0,1.0,0.0,1.0
-1.0,1.0,-0.0,-0.0,0.0,-1.0,1.0
1.0,0.0,-0.0,-1.0,1.0,0.0,1.0
-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0
1.0,1.0,-0.0,-0.0,1.0,-1.0,1.0
-1.0,0.0,-0.0,-1.0,0.0,0.0,1.0
1.0,1.0,-0.0,-0.0,0.0,0.0,1.0
1.0,0.0,-1.0,-0.0,1.0,-1.0,1.0
-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0
-1.0,1.0,-1.0,-0.0,-1.0,0.0,-1.0
-1.0,0.0,-0.0,1.0,0.0,-1.0,0.0
-1.0,1.0,-1.0,1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,-1.0,-1.0,0.0
-1.0,1.0,-0.0,1.0,0.0,-1.0,-1.0
-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0
-1.0,1.0,-0.0,1.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0
-1.0,1.0,-1.0,-0.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,-0.0,0.0,-1.0,0.0
-1.0,1.0,-1.0,-0.0,-1.0,-1.0,0.0
-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0
