number_of_species,endemics,area,elevation,distance_to_island,distance_to_coast,area_of_adjacent_island
-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,-1.0,0.0,1.0
-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
-1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0,0.0,0.0
-1.0,0.0,0.0,0.0,1.0,-1.0,0.0
1.0,0.0,0.0,0.0,-1.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,0.0,-1.0
-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0
-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,-1.0,0.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,-1.0
-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,-1.0
-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,0.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,-1.0,0.0
-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,-1.0,-1.0
-1.0,0.0,0.0,-1.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
-1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,-1.0
-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
-1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0,0.0,-1.0,-1.0
-1.0,-1.0,0.0,-1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,-1.0
-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0
-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0
1.0,0.0,0.0,0.0,1.0,1.0,-1.0
1.0,1.0,1.0,0.0,-1.0,0.0,1.0
-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
-1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,-1.0
-1.0,0.0,0.0,0.0,0.0,-1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,-1.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
