Acutual_sale_price,Current_Taxes,Number_of_bathrooms,Lot_size,Living_space,Number_of_garage_spaces,Number_of_rooms,Number_of_bedrooms,Age_of_house,Price,Number_of_fireplaces
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,1.0
-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0
1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0
1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-0.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0
1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,1.0,1.0
1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-0.0,1.0,1.0
-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,1.0,1.0
-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,0.0
-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-0.0,0.0,0.0
-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-0.0,-1.0,-1.0
-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0
