Ozone_San_Francisco,Ozone_SFO,Rain,Ozone_San_Jose
-1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
1.0,0.0,-1.0,0.0
-1.0,0.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,0.0
1.0,1.0,-1.0,-1.0
-1.0,-1.0,1.0,1.0
1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,0.0
1.0,0.0,-1.0,-1.0
-1.0,0.0,1.0,1.0
1.0,1.0,-1.0,0.0
-1.0,-1.0,1.0,0.0
-1.0,0.0,-1.0,-1.0
1.0,0.0,1.0,1.0
1.0,0.0,-1.0,-1.0
-1.0,0.0,1.0,1.0
1.0,0.0,-1.0,-1.0
-1.0,0.0,1.0,1.0
-1.0,0.0,-1.0,-1.0
1.0,0.0,1.0,1.0
-1.0,0.0,-1.0,-1.0
1.0,0.0,1.0,1.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,0.0,-1.0,0.0
1.0,0.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0
-1.0,0.0,-1.0,-1.0
-1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0
-1.0,0.0,0.0,-1.0
-1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,0.0
1.0,1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
1.0,0.0,-1.0,0.0
-1.0,0.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.0,1.0
-1.0,-1.0,0.0,-1.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,-1.0,0.0,-1.0
1.0,1.0,0.0,1.0
-1.0,-1.0,0.0,-1.0
1.0,1.0,0.0,1.0
-1.0,-1.0,0.0,-1.0
1.0,1.0,0.0,1.0
-1.0,-1.0,0.0,-1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
